n,method,x,F_hat,Phi,F_minus_Phi
50000,RR,-0.18000000000000016,0.4309,0.4285762840990992,0.0023237159009008024
50000,RR,-0.16999999999999993,0.4346,0.4325050683249616,0.0020949316750383806
50000,RR,-0.16000000000000014,0.4378,0.4364405371085671,0.0013594628914329054
50000,RR,-0.1499999999999999,0.4419,0.4403823076297575,0.0015176923702425182
50000,RR,-0.14000000000000012,0.445,0.44432999519409355,0.0006700048059064545
50000,RR,-0.1299999999999999,0.4492,0.4482832133454389,0.0009167866545610748
50000,RR,-0.1200000000000001,0.4527,0.4522415739794161,0.0004584260205838797
50000,RR,-0.10999999999999988,0.4573,0.4562046874576833,0.0010953125423167065
50000,RR,-0.10000000000000009,0.4609,0.46017216272297096,0.0007278372770290198
50000,RR,-0.08999999999999986,0.4643,0.46414360741482796,0.00015639258517202714
50000,RR,-0.08000000000000007,0.4687,0.4681186279860126,0.0005813720139873912
50000,RR,-0.06999999999999984,0.4716,0.472096829819479,-0.0004968298194789611
50000,RR,-0.06000000000000005,0.4759,0.4760778173458931,-0.00017781734589311649
50000,RR,-0.04999999999999982,0.4805,0.4800611941616276,0.0004388058383723581
50000,RR,-0.040000000000000036,0.4849,0.4840465631471692,0.0008534368528307912
50000,RR,-0.029999999999999805,0.489,0.48803352658588744,0.0009664734141125453
50000,RR,-0.020000000000000018,0.4929,0.492021686283098,0.0008783137169020017
50000,RR,-0.009999999999999787,0.4962,0.49601064368536846,0.00018935631463151692
50000,RR,0.0,0.4993,0.5,-0.0006999999999999784
50000,RR,0.010000000000000231,0.503,0.5039893563146317,-0.0009893563146317064
50000,RR,0.020000000000000018,0.5054,0.5079783137169019,-0.002578313716901981
50000,RR,0.03000000000000025,0.5084,0.5119664734141127,-0.0035664734141127585
50000,RR,0.040000000000000036,0.512,0.5159534368528308,-0.003953436852830783
50000,RR,0.050000000000000266,0.5165,0.5199388058383726,-0.0034388058383726383
50000,RR,0.06000000000000005,0.5212,0.5239221826541068,-0.0027221826541068417
50000,RR,0.07000000000000028,0.5253,0.5279031701805212,-0.0026031701805212526
50000,RR,0.08000000000000007,0.5296,0.5318813720139874,-0.0022813720139874816
50000,RR,0.08999999999999986,0.5338,0.535856392585172,-0.0020563925851719844
50000,RR,0.10000000000000009,0.538,0.539827837277029,-0.0018278372770289542
50000,RR,0.10999999999999988,0.5411,0.5437953125423167,-0.002695312542316697
50000,RR,0.1200000000000001,0.5445,0.5477584260205839,-0.0032584260205839044
50000,RR,0.1299999999999999,0.5469,0.5517167866545611,-0.004816786654561089
50000,RR,0.14000000000000012,0.5511,0.5556700048059064,-0.0045700048059064136
50000,RR,0.1499999999999999,0.5546,0.5596176923702425,-0.005017692370242521
50000,RR,0.16000000000000014,0.5579,0.5635594628914329,-0.0056594628914329315
50000,RR,0.16999999999999993,0.5616,0.5674949316750384,-0.005894931675038406
50000,RR,0.18000000000000016,0.5655,0.5714237159009008,-0.0059237159009007945
