method,label,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,problem_seed,sigma_true,rr_alpha_1,rr_alpha_2,T,T_eff,n_traj,b_n,n_bootstrap,max_a_norm,max_rho,warn_unstable,warn_assumption
RR_OBM,RR + OBM,2.7999605278109763,2.993287669477568,92.0,0,487991439,0.5788421349952112,0.2,0.1,1000000,999000,100,3981,500,0.7499907647920281,0.9684521682237308,False,False
RR_OBM_RR,RR + OBM-RR,2.7999605278109763,2.997089473788539,92.0,0,487991439,0.5788421349952112,0.2,0.1,1000000,999000,100,3981,500,0.7499907647920281,0.9684521682237308,False,False
RR_MSB,RR + MSB,2.7999605278109763,2.9622012679219543,92.0,0,487991439,0.5788421349952112,0.2,0.1,1000000,999000,100,3981,500,0.7499907647920281,0.9684521682237308,False,False
RR_BATCH,RR + batch means,3.586594850180694,6.922746414277478,92.0,0,354826746,3.1441445040209923,0.2,0.1,1000000,999000,100,3981,500,0.6751285977489111,0.9896895517092816,False,False
RR_ORACLE,RR + oracle variance,3.587000768560232,6.954190630213911,96.0,0,354826746,3.1441445040209923,0.2,0.1,1000000,999000,100,3981,500,0.6751285977489111,0.9896895517092816,False,False
RR_OBM,RR + OBM,3.587000768560232,6.934749585855668,96.0,0,354826746,3.1441445040209923,0.2,0.1,1000000,999000,100,3981,500,0.6751285977489111,0.9896895517092816,False,False
RR_OBM_RR,RR + OBM-RR,3.587000768560232,6.9432894740399576,95.0,0,354826746,3.1441445040209923,0.2,0.1,1000000,999000,100,3981,500,0.6751285977489111,0.9896895517092816,False,False
RR_MSB,RR + MSB,3.587000768560232,6.932609031201616,97.0,0,354826746,3.1441445040209923,0.2,0.1,1000000,999000,100,3981,500,0.6751285977489111,0.9896895517092816,False,False
RR_BATCH,RR + batch means,2.6594619645778006,4.579355631449635,90.0,0,1843166519,1.3821944944951714,0.2,0.1,1000000,999000,100,3981,500,0.7978711813536549,0.9687988672836144,False,False
RR_ORACLE,RR + oracle variance,2.6596317718016262,4.610838618292477,92.0,0,1843166519,1.3821944944951714,0.2,0.1,1000000,999000,100,3981,500,0.7978711813536549,0.9687988672836144,False,False
RR_OBM,RR + OBM,2.6596317718016262,4.59270258418385,91.0,0,1843166519,1.3821944944951714,0.2,0.1,1000000,999000,100,3981,500,0.7978711813536549,0.9687988672836144,False,False
RR_OBM_RR,RR + OBM-RR,2.6596317718016262,4.593358298083912,91.0,0,1843166519,1.3821944944951714,0.2,0.1,1000000,999000,100,3981,500,0.7978711813536549,0.9687988672836144,False,False
RR_MSB,RR + MSB,2.6596317718016262,4.5221862526270025,92.0,0,1843166519,1.3821944944951714,0.2,0.1,1000000,999000,100,3981,500,0.7978711813536549,0.9687988672836144,False,False
RR_BATCH,RR + batch means,3.32402841838074,5.5763303196687986,92.0,0,1356488968,2.0826256161997465,0.2,0.1,1000000,999000,100,3981,500,0.7032738151997727,0.9694387541389551,False,False
RR_ORACLE,RR + oracle variance,3.32374332296464,5.659798184538556,95.0,0,1356488968,2.0826256161997465,0.2,0.1,1000000,999000,100,3981,500,0.7032738151997727,0.9694387541389551,False,False
RR_OBM,RR + OBM,3.32374332296464,5.627490760035309,95.0,0,1356488968,2.0826256161997465,0.2,0.1,1000000,999000,100,3981,500,0.7032738151997727,0.9694387541389551,False,False
RR_OBM_RR,RR + OBM-RR,3.32374332296464,5.625733868421029,95.0,0,1356488968,2.0826256161997465,0.2,0.1,1000000,999000,100,3981,500,0.7032738151997727,0.9694387541389551,False,False
RR_MSB,RR + MSB,3.32374332296464,5.550649008530612,94.0,0,1356488968,2.0826256161997465,0.2,0.1,1000000,999000,100,3981,500,0.7032738151997727,0.9694387541389551,False,False
RR_BATCH,RR + batch means,3.569224402453088,5.193935267416645,92.0,0,137046513,1.731572060392841,0.2,0.1,1000000,999000,100,3981,500,0.7744613768105492,0.9840899487630653,False,False
RR_ORACLE,RR + oracle variance,3.5691049219069826,5.160783346062819,93.0,0,137046513,1.731572060392841,0.2,0.1,1000000,999000,100,3981,500,0.7744613768105492,0.9840899487630653,False,False
