estimator,lam,x,ratio_mean,ratio_std,ratio_cv,ratio_min,ratio_max,log_ratio_slope,abs_log_ratio_slope
OBM,0.0,0.3,22.643161160595735,14.318496417352629,0.6323541274029387,10.726274856163286,46.04114724099536,0.31371856755089145,0.31371856755089145
OBM,0.0,0.31,20.01594438954232,12.295225449953083,0.6142715632431982,9.78247893473167,40.100162886713804,0.3037185675508914,0.3037185675508914
OBM,0.0,0.32,17.697865290706385,10.549349557488496,0.5960803398717379,8.921726824246134,34.92578182563584,0.2937185675508915,0.2937185675508915
OBM,0.0,0.33,15.652099078612986,9.043555127080646,0.5777854511180389,8.13671156948485,30.419084320878625,0.28371856755089125,0.28371856755089125
OBM,0.0,0.34,13.846254389630749,7.7454884865839,0.5593923286852494,7.420769148082821,26.493914883289168,0.2737185675508913,0.2737185675508913
OBM,0.0,0.35,12.251834648738901,6.627101818909068,0.5409068934497255,6.767821899409455,23.075235218740385,0.26371856755089135,0.26371856755089135
OBM,0.0,0.36,10.843765387737584,5.66408489297374,0.5223356177900009,6.172326931091724,20.09768970519511,0.25371856755089156,0.25371856755089156
OBM,0.0,0.37,9.599979385981012,4.835371395421014,0.5036856019172474,5.629229065204049,17.504355975460093,0.24371856755089147,0.24371856755089147
OBM,0.0,0.38,8.50105251232464,4.1227101100734,0.48496466809214334,5.133917924683427,15.245656720255893,0.23371856755089138,0.23371856755089138
OBM,0.0,0.39,7.529884029089127,3.5102924646887876,0.4661814778458706,4.682188795674882,13.278411908312117,0.22371856755089148,0.22371856755089148
OBM,0.0,0.4,6.67141589115009,2.984429071734627,0.4473456790025032,4.270206933566286,11.565013304579091,0.2137185675508915,0.2137185675508915
OBM,0.0,0.41,5.912386249490382,2.533268853174566,0.4284680916090219,3.894475009705215,10.072705505646047,0.2037185675508915,0.2037185675508915
OBM,0.0,0.42,5.241112960704568,2.146555177473436,0.4095609450830979,3.5518034224518678,8.772959747767858,0.19371856755089154,0.19371856755089154
OBM,0.0,0.43,4.647303422522484,1.8154141665744616,0.390638183376691,3.23928322053752,7.640928516456085,0.18371856755089147,0.18371856755089147
OBM,0.0,0.44,4.121887509602398,1.532170965813082,0.37171586129988227,2.954261408873938,6.65497053129038,0.1737185675508914,0.1737185675508914
OBM,0.0,0.45,3.656870781667492,1.2901903231434864,0.352812664207723,2.6943184271838927,5.7962370249845945,0.16371856755089143,0.16371856755089143
OBM,0.0,0.46,3.245205484547879,1.0837383066697834,0.33395059629660695,2.4572476102680763,5.048311407516935,0.1537185675508915,0.1537185675508915
OBM,0.0,0.47,2.880677169991557,0.9078624109764369,0.31515590168651136,2.2410364555458924,4.396895426707187,0.14371856755089152,0.14371856755089152
OBM,0.0,0.48,2.5578050275994193,0.7582876716637118,0.29646031010244306,2.029307361724863,3.8295358255063636,0.13371856755089145,0.13371856755089145
OBM,0.0,0.49,2.2717542566272386,0.6313267312286668,0.27790273943008537,1.83052902010937,3.3353862704484447,0.12371856755089149,0.12371856755089149
OBM,0.0,0.5,2.0182590107987184,0.5238020841204131,0.25953164649225097,1.6512217698823297,2.905,0.11371856755089142,0.11371856755089142
OBM,0.0,0.51,1.7935546292915752,0.43297897856040335,0.2414083025346281,1.489478343899967,2.530149228822414,0.10371856755089147,0.10371856755089147
OBM,0.0,0.52,1.5943180248461781,0.35650766767148795,0.22361138876660713,1.3435782990585738,2.203667855459778,0.09371856755089143,0.09371856755089143
OBM,0.0,0.53,1.4176152382635543,0.29237387383603275,0.20624346151510287,1.2119697161722327,1.9193144664620658,0.08371856755089148,0.08371856755089148
OBM,0.0,0.54,1.2608552898220011,0.23885642923793327,0.18944000248565668,1.093252692416824,1.6716530179644402,0.0737185675508915,0.0737185675508915
OBM,0.0,0.55,1.1217495644637911,0.19449101030575044,0.1733818460617984,0.9851667931615627,1.455948913687225,0.06371856755089145,0.06371856755089145
OBM,0.0,0.56,0.9982760608365435,0.1580385385407883,0.15831145786302225,0.8780308286234563,1.2680784926576811,0.05371856755089146,0.05371856755089146
OBM,0.0,0.57,0.8886479160384597,0.12845589459050036,0.144552068678841,0.7825457997210064,1.1044501963112312,0.043718567550891624,0.043718567550891624
OBM,0.0,0.58,0.7912856896317605,0.10486476862443189,0.13252453569990968,0.6974446781339689,0.9619359079069277,0.03371856755089158,0.03371856755089158
OBM,0.0,0.59,0.704792953396909,0.0865120561670402,0.12274818547784253,0.621598223683288,0.8378111516582794,0.0237185675508916,0.0237185675508916
OBM,0.0,0.6,0.6279347884895774,0.0727151059514429,0.11580040998580514,0.5540000000000002,0.7297030083535332,0.013718567550891576,0.013718567550891576
OBM,0.0,0.61,0.5596188400859664,0.06279472321218371,0.1122098090953075,0.49375301972609514,0.6355447517573451,0.0037185675508915384,0.0037185675508915384
OBM,0.0,0.62,0.49887862209454903,0.05602245646447544,0.11229676715603559,0.440057842037252,0.5629229065204049,-0.006281432449108436,0.006281432449108436
OBM,0.0,0.63,0.44485880180485377,0.05162456655193244,0.11604708357457338,0.39220196454881234,0.5133917924683428,-0.016281432449108485,0.016281432449108485
OBM,0.0,0.64,0.396802227077023,0.04885318428407759,0.12311721293488287,0.349550368842027,0.4682188795674882,-0.02628143244910849,0.02628143244910849
OBM,0.0,0.65,0.35403848741076394,0.047075350735149145,0.13296676042040365,0.31153709415545333,0.4270206933566285,-0.03628143244910843,0.03628143244910843
