estimator,lam,eta,label,n_T,T_min,T_max,kappa_hat,rate_hat,C_hat_mse,r2_log_mse,theory_rate,rate_minus_theory,mean_abs_log_b_error,max_abs_log_b_error
OBM_RR,2.0,0.675,OBM-LW(lambda=2),9,10000,1000000,-0.3182814718471517,0.3182814718471517,147.39136704176536,0.9864794448943295,0.32499999999999996,-0.0067185281528482355,0.029343374266432933,0.034932712655426225
OBM_RR,2.0,0.7,OBM-LW(lambda=2),9,10000,1000000,-0.29972563425350685,0.29972563425350685,159.25449843638594,0.9871141533097124,0.30000000000000004,-0.0002743657464931992,0.026008593758343412,0.031075001109195748
OBM_RR,2.0,0.725,OBM-LW(lambda=2),9,10000,1000000,-0.28100737189894653,0.28100737189894653,170.77381248167043,0.985310259780875,0.275,0.006007371898946512,0.0227559128676649,0.027176413897764564
OBM_RR,2.0,0.75,OBM-LW(lambda=2),9,10000,1000000,-0.25546113862483477,0.25546113862483477,170.0236374514132,0.9893111589564274,0.25,0.0054611386248347715,0.019562343355316834,0.023315649199009164
OBM_RR,3.0,0.15,OBM-LW(lambda=3),9,10000,1000000,0.1682255558678775,-0.1682255558678775,2.235343747473114,0.9923271981683772,0.6,-0.7682255558678774,0.06845959537670425,0.22788685663767297
OBM_RR,3.0,0.175,OBM-LW(lambda=3),9,10000,1000000,0.1683812221185915,-0.1683812221185915,1.9115695063708087,0.9161607601721757,0.7,-0.8683812221185915,0.04176448561861887,0.09918901370953807
OBM_RR,3.0,0.2,OBM-LW(lambda=3),9,10000,1000000,0.18422034986923924,-0.18422034986923924,1.2733168630451213,0.8739208096410089,0.8,-0.9842203498692392,0.036812364709060026,0.05952331801932924
OBM_RR,3.0,0.225,OBM-LW(lambda=3),9,10000,1000000,0.2092844628135666,-0.2092844628135666,0.6956091882229919,0.9216418826868253,0.775,-0.9842844628135666,0.020595227395433426,0.03831614414207903
OBM_RR,3.0,0.25,OBM-LW(lambda=3),9,10000,1000000,0.24440771803485312,-0.24440771803485312,0.30151858080323085,0.8508412206593021,0.75,-0.9944077180348532,0.010589789642729443,0.02249430632960012
OBM_RR,3.0,0.275,OBM-LW(lambda=3),9,10000,1000000,0.2686529390611462,-0.2686529390611462,0.13565935663333864,0.8191010323195749,0.725,-0.9936529390611462,0.012776727474051924,0.032105755168086385
OBM_RR,3.0,0.3,OBM-LW(lambda=3),9,10000,1000000,0.2716679441817223,-0.2716679441817223,0.06921638759145028,0.6668969158509267,0.7,-0.9716679441817222,0.01033237107902495,0.02660728659439795
OBM_RR,3.0,0.325,OBM-LW(lambda=3),9,10000,1000000,0.22952856399717084,-0.22952856399717084,0.053087337595827955,0.4383104347208697,0.675,-0.9045285639971709,0.01439740107467672,0.025691343491984212
OBM_RR,3.0,0.35,OBM-LW(lambda=3),9,10000,1000000,0.06437284308777952,-0.06437284308777952,0.1802756018686228,0.04380506335116874,0.65,-0.7143728430877796,0.013674401862049138,0.024383709074176592
OBM_RR,3.0,0.375,OBM-LW(lambda=3),9,10000,1000000,-0.236829455098436,0.236829455098436,3.6891862019916157,0.46374326536893407,0.625,-0.388170544901564,0.024712384347988694,0.0341192983723828
OBM_RR,3.0,0.4,OBM-LW(lambda=3),9,10000,1000000,-0.493752092647044,0.493752092647044,64.34045435915519,0.9568038747021921,0.6,-0.10624790735295597,0.027066823487759743,0.03831618413698343
OBM_RR,3.0,0.425,OBM-LW(lambda=3),9,10000,1000000,-0.5666247541855612,0.5666247541855612,181.07262460829435,0.9980852986723295,0.575,-0.008375245814438714,0.031278758730187414,0.041911018503453766
OBM_RR,3.0,0.45,OBM-LW(lambda=3),9,10000,1000000,-0.5444426606156514,0.5444426606156514,188.81350735669673,0.9975682567047403,0.55,-0.0055573393843486585,0.03755306121774504,0.04641851150770025
OBM_RR,3.0,0.475,OBM-LW(lambda=3),9,10000,1000000,-0.5140366622459396,0.5140366622459396,179.91385171738546,0.9979664628658175,0.525,-0.010963337754060443,0.03961769954432712,0.04967351980006198
OBM_RR,3.0,0.5,OBM-LW(lambda=3),9,10000,1000000,-0.48304188013166405,0.48304188013166405,171.1555081289808,0.9973356296204811,0.5,-0.016958119868335952,0.04345278770828696,0.05354076692802976
OBM_RR,3.0,0.525,OBM-LW(lambda=3),9,10000,1000000,-0.4583677440525502,0.4583677440525502,173.42313271978196,0.995571952329493,0.475,-0.01663225594744977,0.046430645018993175,0.058075341488384086
OBM_RR,3.0,0.55,OBM-LW(lambda=3),9,10000,1000000,-0.4532206742719355,0.4532206742719355,200.1114795594697,0.9928977245898728,0.44999999999999996,0.003220674271935564,0.046276989938420506,0.05472793937884181
OBM_RR,3.0,0.575,OBM-LW(lambda=3),9,10000,1000000,-0.4215769926924905,0.4215769926924905,182.16523682766663,0.9956343209478514,0.42500000000000004,-0.0034230073075095513,0.043302467743422626,0.050719701284848255
OBM_RR,3.0,0.6,OBM-LW(lambda=3),9,10000,1000000,-0.39886370599845317,0.39886370599845317,187.26993262967065,0.9927772531320104,0.4,-0.001136294001546856,0.039359813900339734,0.04681318159093857
OBM_RR,3.0,0.625,OBM-LW(lambda=3),9,10000,1000000,-0.3696139299413519,0.3696139299413519,181.95243716480758,0.9899247102209475,0.375,-0.005386070058648107,0.036198187364961394,0.042764561197416714
OBM_RR,3.0,0.65,OBM-LW(lambda=3),9,10000,1000000,-0.3445847318563535,0.3445847318563535,184.1802399669421,0.9888013891856766,0.35,-0.005415268143646457,0.03294214965673513,0.03892898051621227
OBM_RR,3.0,0.675,OBM-LW(lambda=3),9,10000,1000000,-0.32572881964891703,0.32572881964891703,198.9002267062945,0.9881080105789883,0.32499999999999996,0.0007288196489170784,0.029343374266432933,0.034932712655426225
OBM_RR,3.0,0.7,OBM-LW(lambda=3),9,10000,1000000,-0.3024532154233784,0.3024532154233784,202.4337877495327,0.9875929332502618,0.30000000000000004,0.002453215423378341,0.026008593758343412,0.031075001109195748
OBM_RR,3.0,0.725,OBM-LW(lambda=3),9,10000,1000000,-0.27190555746863104,0.27190555746863104,187.8183924764861,0.9908053375767818,0.275,-0.0030944425313689794,0.0227559128676649,0.027176413897764564
OBM_RR,3.0,0.75,OBM-LW(lambda=3),9,10000,1000000,-0.23027279198659678,0.23027279198659678,152.00989500325977,0.9877409354936328,0.25,-0.01972720801340322,0.019562343355316834,0.023315649199009164
OBM_RR,4.0,0.15,OBM-LW(lambda=4),9,10000,1000000,0.20586568227292168,-0.20586568227292168,1.2420175818513908,0.9926338658952369,0.6,-0.8058656822729217,0.06845959537670425,0.22788685663767297
OBM_RR,4.0,0.175,OBM-LW(lambda=4),9,10000,1000000,0.205862203726059,-0.205862203726059,1.0312100727545386,0.9170534905956556,0.7,-0.905862203726059,0.04176448561861887,0.09918901370953807
OBM_RR,4.0,0.2,OBM-LW(lambda=4),9,10000,1000000,0.22429138581888572,-0.22429138581888572,0.6387598931379749,0.8758420047457242,0.8,-1.0242913858188858,0.036812364709060026,0.05952331801932924
OBM_RR,4.0,0.225,OBM-LW(lambda=4),9,10000,1000000,0.2524417425572365,-0.2524417425572365,0.3185412434081457,0.9206396157853202,0.775,-1.0274417425572366,0.020595227395433426,0.03831614414207903
OBM_RR,4.0,0.25,OBM-LW(lambda=4),9,10000,1000000,0.2891700561835506,-0.2891700561835506,0.1268413100131804,0.8475045106779706,0.75,-1.0391700561835506,0.010589789642729443,0.02249430632960012
OBM_RR,4.0,0.275,OBM-LW(lambda=4),9,10000,1000000,0.30478904227793896,-0.30478904227793896,0.059239248843963574,0.798439106592956,0.725,-1.029789042277939,0.012776727474051924,0.032105755168086385
OBM_RR,4.0,0.3,OBM-LW(lambda=4),9,10000,1000000,0.27815817300298207,-0.27815817300298207,0.040967611016043355,0.6010256464754685,0.7,-0.978158173002982,0.01033237107902495,0.02660728659439795
OBM_RR,4.0,0.325,OBM-LW(lambda=4),9,10000,1000000,0.16007251623910168,-0.16007251623910168,0.07922811115621822,0.2352687202229914,0.675,-0.8350725162391017,0.01439740107467672,0.025691343491984212
OBM_RR,4.0,0.35,OBM-LW(lambda=4),9,10000,1000000,-0.09124329119163005,0.09124329119163005,0.8503176269007068,0.0891093796850041,0.65,-0.55875670880837,0.013674401862049138,0.024383709074176592
OBM_RR,4.0,0.375,OBM-LW(lambda=4),9,10000,1000000,-0.39222407150909866,0.39222407150909866,21.30015058368907,0.8096887754521187,0.625,-0.23277592849090134,0.024712384347988694,0.0341192983723828
OBM_RR,4.0,0.4,OBM-LW(lambda=4),9,10000,1000000,-0.5569311927721032,0.5569311927721032,151.11956866728121,0.9924685277186489,0.6,-0.043068807227896744,0.027066823487759743,0.03831618413698343
OBM_RR,4.0,0.425,OBM-LW(lambda=4),9,10000,1000000,-0.5684239163601859,0.5684239163601859,222.82598858965613,0.9979766493200523,0.575,-0.006576083639814101,0.031278758730187414,0.041911018503453766
OBM_RR,4.0,0.45,OBM-LW(lambda=4),9,10000,1000000,-0.5434829670122975,0.5434829670122975,226.14877979870562,0.9978879526641173,0.55,-0.0065170329877025646,0.03755306121774504,0.04641851150770025
OBM_RR,4.0,0.475,OBM-LW(lambda=4),9,10000,1000000,-0.5110490571194805,0.5110490571194805,211.2117043974603,0.9977916671539402,0.525,-0.013950942880519568,0.03961769954432712,0.04967351980006198
OBM_RR,4.0,0.5,OBM-LW(lambda=4),9,10000,1000000,-0.4841380000040327,0.4841380000040327,209.18978551341945,0.9967554980702281,0.5,-0.015861999995967324,0.04345278770828696,0.05354076692802976
OBM_RR,4.0,0.525,OBM-LW(lambda=4),9,10000,1000000,-0.4594184685476946,0.4594184685476946,209.5269256124532,0.9959157618723606,0.475,-0.015581531452305397,0.046430645018993175,0.058075341488384086
OBM_RR,4.0,0.55,OBM-LW(lambda=4),9,10000,1000000,-0.4522416234887454,0.4522416234887454,234.38605831656355,0.9946815098061655,0.44999999999999996,0.002241623488745459,0.046276989938420506,0.05472793937884181
OBM_RR,4.0,0.575,OBM-LW(lambda=4),9,10000,1000000,-0.42162877308004537,0.42162877308004537,218.24319823973855,0.9938190024242899,0.42500000000000004,-0.003371226919954673,0.043302467743422626,0.050719701284848255
OBM_RR,4.0,0.6,OBM-LW(lambda=4),9,10000,1000000,-0.39553122673390945,0.39553122673390945,218.97781622335214,0.9905953157105927,0.4,-0.0044687732660905755,0.039359813900339734,0.04681318159093857
OBM_RR,4.0,0.625,OBM-LW(lambda=4),9,10000,1000000,-0.36932818359329805,0.36932818359329805,218.62674649099168,0.9902267495841512,0.375,-0.005671816406701946,0.036198187364961394,0.042764561197416714
OBM_RR,4.0,0.65,OBM-LW(lambda=4),9,10000,1000000,-0.34940040573156655,0.34940040573156655,232.53154147224123,0.9892003721532879,0.35,-0.0005995942684334232,0.03294214965673513,0.03892898051621227
OBM_RR,4.0,0.675,OBM-LW(lambda=4),9,10000,1000000,-0.3249183740145339,0.3249183740145339,233.8250988072926,0.9882625522409385,0.32499999999999996,-8.16259854660717e-05,0.029343374266432933,0.034932712655426225
OBM_RR,4.0,0.7,OBM-LW(lambda=4),9,10000,1000000,-0.29310882113090403,0.29310882113090403,213.49662788199427,0.990611864634277,0.30000000000000004,-0.006891178869096015,0.026008593758343412,0.031075001109195748
OBM_RR,4.0,0.725,OBM-LW(lambda=4),9,10000,1000000,-0.25281130981915795,0.25281130981915795,175.26802602845467,0.9889648600936426,0.275,-0.022188690180842074,0.0227559128676649,0.027176413897764564
OBM_RR,4.0,0.75,OBM-LW(lambda=4),9,10000,1000000,-0.2035037964132033,0.2035037964132033,126.36933572860421,0.9697660584604316,0.25,-0.04649620358679671,0.019562343355316834,0.023315649199009164
