estimator,lam,T,b,mse_selected,bias,var,sigma_true,eta,target_b,eta_actual,log_b_error
OBM_RR,4.0,100000,719,1.7477278742247773,-0.2276774479054681,1.6980133706533462,5.530043287007115,0.575,749.8942093324555,0.5713457780765765,0.04207078463683416
OBM_RR,4.0,100000,961,2.4357434432838287,-0.3200831058046738,2.336210511802016,5.530043287007115,0.6,999.9999999999998,0.5965446775337091,0.03978087001184436
OBM_RR,4.0,100000,1286,3.303530750603485,-0.4383104112743394,3.1153088700595792,5.530043287007115,0.625,1333.521432163324,0.6218481937176407,0.036286510808828144
OBM_RR,4.0,100000,1721,4.400518444076942,-0.5895126663567725,4.058065842585103,5.530043287007115,0.65,1778.2794100389233,0.6471561740655121,0.03274075601910928
OBM_RR,4.0,100000,2303,5.705547540764846,-0.7575773923789022,5.138046593563183,5.530043287007115,0.675,2371.3737056616565,0.6724587875928463,0.02925678903421948
OBM_RR,4.0,100000,3081,7.529172783779346,-0.9893444232101372,6.55856860680085,5.530043287007115,0.7,3162.2776601683777,0.697738339663388,0.026038326882491435
OBM_RR,4.0,100000,4122,9.825923431530274,-1.3122112240421675,8.114167844834073,5.530043287007115,0.725,4216.965034285821,0.7230215974886388,0.022777200653010976
OBM_RR,4.0,100000,5515,12.560921229762815,-1.736670227622854,9.55684380500746,5.530043287007115,0.75,5623.413251903491,0.7483091033552419,0.019467167040068557
OBM_RR,4.0,200000,6,15.920675273170229,-3.989865965223327,0.0016469113619627,5.530043287007115,0.15,6.239567673133879,0.1467924631666183,0.039151427601471
OBM_RR,4.0,200000,8,13.00269158833678,-3.605533273893085,0.0028249303495329,5.530043287007115,0.175,8.466038697065802,0.17036122937063797,0.05662117128794421
OBM_RR,4.0,200000,11,9.707149159453138,-3.114823547395141,0.0050297151898754,5.530043287007115,0.2,11.486983549970352,0.19645100782490202,0.04331925630766445
OBM_RR,4.0,200000,15,6.695693849280884,-2.585945090855776,0.0085925770811484,5.530043287007115,0.225,15.585895103813016,0.22186089496148376,0.03831614414207903
OBM_RR,4.0,200000,21,3.963287176733246,-1.987066998455326,0.0148705085186377,5.530043287007115,0.25,21.147425268811283,0.24942686531022062,0.006995723659120484
OBM_RR,4.0,200000,29,2.070531390087172,-1.4304580169761243,0.0243516913701179,5.530043287007115,0.275,28.69348167180654,0.2758705381963762,0.010625852465675911
OBM_RR,4.0,200000,39,0.9858519149501568,-0.9739252072614564,0.0373683160058928,5.530043287007115,0.3,38.932204747617334,0.30014253990789014,0.0017398524705943795
OBM_RR,4.0,200000,54,0.3797088975926081,-0.5680373647284274,0.0571138421677009,5.530043287007115,0.325,52.82442137371227,0.32680323658609617,0.022010436766967692
OBM_RR,4.0,200000,73,0.1684220342317358,-0.2969581462908213,0.0803383164788541,5.530043287007115,0.35,71.67381122021563,0.3515020404797889,0.0183340152128306
OBM_RR,4.0,200000,100,0.1253478750695032,-0.1177332591610733,0.1116262876163351,5.530043287007115,0.375,97.2492472466073,0.3772851694172483,0.027892943914276245
OBM_RR,4.0,200000,136,0.1555741478041064,-0.0262235438872648,0.1550803239550428,5.530043287007115,0.4,131.95079107728947,0.40247629425137427,0.030225827523982264
OBM_RR,4.0,200000,185,0.2138130680235345,0.0083997326534808,0.2140100250461923,5.530043287007115,0.425,179.0349206690635,0.4276851348242633,0.03277495072800116
OBM_RR,4.0,200000,253,0.3011408181285527,0.0104595842330086,0.3014081754455322,5.530043287007115,0.45,242.92012618706255,0.45333086648094223,0.04065679823894197
OBM_RR,4.0,200000,344,0.4174702252900976,-0.0070842851472479,0.4179424662768962,5.530043287007115,0.475,329.6015519554173,0.47850294087117556,0.04275715074656621
OBM_RR,4.0,200000,469,0.5765878098351357,-0.0266144012446867,0.5766002337737396,5.530043287007115,0.5,447.21359549995793,0.5038969492532565,0.04756644568119249
OBM_RR,4.0,200000,638,0.7736738041216481,-0.0396137507722818,0.7730708934882599,5.530043287007115,0.525,606.793259356535,0.5291086224781575,0.05015014444144839
OBM_RR,4.0,200000,784,0.9460484772617884,-0.0454974592945367,0.9451599083449614,5.530043287007115,0.55,823.315890450298,0.5459912630284807,0.048930934691188276
OBM_RR,4.0,200000,1068,1.2940428173213403,-0.0488849712325585,1.2932696639889187,5.530043287007115,0.575,1117.1005033687768,0.571317509082156,0.04494875165970911
OBM_RR,4.0,200000,1454,1.8488365658685613,-0.0671094714314559,1.8466411861954963,5.530043287007115,0.6,1515.7165665103976,0.5965943239539983,0.0415699292246392
OBM_RR,4.0,200000,1980,2.5735375548903483,-0.121168744445681,2.5620582630886664,5.530043287007115,0.625,2056.5711885957794,0.6218914424098834,0.0379432797677777
OBM_RR,4.0,200000,2696,3.513950821170035,-0.2098954925340797,3.4742375002592354,5.530043287007115,0.65,2790.4194934675093,0.6471798670578107,0.03442274756241545
OBM_RR,4.0,200000,3671,4.820265460498621,-0.3363202905423286,4.7130454294549615,5.530043287007115,0.675,3786.1276053565794,0.6724701402217739,0.0308796522360335
OBM_RR,4.0,200000,4998,6.294656288044693,-0.5449057320618165,6.005240581938291,5.530043287007115,0.7,5137.135214831108,0.697750485248318,0.027457740476223298
OBM_RR,4.0,200000,6804,8.24819184343682,-0.8114417847350239,7.599253139847668,5.530043287007115,0.725,6970.224188461407,0.723022565062935,0.024136714493623312
OBM_RR,4.0,200000,9264,10.53184755212635,-1.1574950602134466,9.203557184188057,5.530043287007115,0.75,9457.416090031758,0.7483071308081702,0.02066328433485381
OBM_RR,4.0,300000,7,16.39867042934256,-4.049381361895165,0.0011824933953682,5.530043287007115,0.15,6.630834496675398,0.15429602535931292,0.054179486009562565
OBM_RR,4.0,300000,9,13.914972026338011,-3.730023209405622,0.0019012602086547,5.530043287007115,0.175,9.088583876478463,0.17422336754313217,0.009794529550489707
OBM_RR,4.0,300000,12,10.976139933793402,-3.3125396720980347,0.0032248856771437,5.530043287007115,0.2,12.457309396155175,0.1970343901219439,0.0374009009396674
OBM_RR,4.0,300000,17,7.544858511811665,-2.7457099413673003,0.0059428582612663,5.530043287007115,0.225,17.074668562300275,0.22465248880842104,0.004382650512410136
OBM_RR,4.0,300000,23,4.946828795114972,-2.2219491969775467,0.0097827896528745,5.530043287007115,0.25,23.40347319320716,0.24862108627669788,0.017390222480434793
OBM_RR,4.0,300000,32,2.746904529690052,-1.6524754198414038,0.0162498287960229,5.530043287007115,0.275,32.07807844156349,0.27480676587594455,0.0024369794508166966
OBM_RR,4.0,300000,44,1.3405574878205238,-1.1467061474211755,0.0256545674963797,5.530043287007115,0.3,43.967966122300474,0.3000577493277178,0.0007283078267599157
OBM_RR,4.0,300000,61,0.5441591831321864,-0.7103117877399194,0.0396659297420837,5.530043287007115,0.325,60.26489549408122,0.3259613493990734,0.012124094240851247
OBM_RR,4.0,300000,84,0.2089027781801065,-0.3873457719920177,0.0589397057321791,5.530043287007115,0.35,82.60235687978427,0.3513304154812568,0.01677858506989557
OBM_RR,4.0,300000,116,0.1139158661785183,-0.1680689587320873,0.0857759111782032,5.530043287007115,0.375,113.21930132219957,0.37692391554194,0.02426353349198794
OBM_RR,4.0,300000,160,0.1237305520350432,-0.0358703097566293,0.1225971193121468,5.530043287007115,0.4,155.184557391536,0.40242307594644244,0.03055871377849144
OBM_RR,4.0,300000,221,0.1728516369079925,0.0355923004604008,0.1717995745240841,5.530043287007115,0.425,212.7044291173785,0.4280336630606701,0.038259156221459326
OBM_RR,4.0,300000,304,0.2402330325710813,0.0652235135817598,0.2362742686829851,5.530043287007115,0.45,291.5443065124053,0.45331725702973064,0.041835712268969476
OBM_RR,4.0,300000,418,0.3338661429267362,0.0730272506115721,0.3289443440248819,5.530043287007115,0.475,399.60654798069135,0.4785682404815038,0.045000999546545954
OBM_RR,4.0,300000,575,0.4623154504938405,0.0700779186301421,0.4579770070731491,5.530043287007115,0.5,547.7225575051662,0.5038537064176937,0.04860116397818126
OBM_RR,4.0,300000,791,0.6433886105124367,0.0631948637541066,0.6401952637872708,5.530043287007115,0.525,750.7384488967276,0.5291422900306075,0.05224064710752604
OBM_RR,4.0,300000,979,0.804029980098305,0.055668897221115,0.8019333706938573,5.530043287007115,0.55,1029.0031165031005,0.546050115145062,0.0498141219705762
OBM_RR,4.0,300000,1346,1.1193077281205646,0.0327641317481619,1.119633782018877,5.530043287007115,0.575,1410.4078661871597,0.5712937352248034,0.04674169813737074
OBM_RR,4.0,300000,1852,1.5686664998033035,-0.0027543980434252,1.5706221908332636,5.530043287007115,0.6,1933.1820449317622,0.5965982548825578,0.04290123697687787
OBM_RR,4.0,300000,2548,2.180024722199875,-0.0450773363457646,2.1807186542656782,5.530043287007115,0.625,2649.7248834477414,0.6218959313212528,0.03914707933190723
OBM_RR,4.0,300000,3505,3.016110644477469,-0.0991882235551324,3.010034884390936,5.530043287007115,0.65,3631.857628912531,0.6471808560469977,0.03555374039622957
OBM_RR,4.0,300000,4821,4.141994236758619,-0.1850407390560979,4.112895280749128,5.530043287007115,0.675,4978.022404925004,0.6724585708795893,0.032051329300256545
OBM_RR,4.0,300000,6632,5.63212952841161,-0.3454860363455054,5.519668512742812,5.530043287007115,0.7,6823.149362095244,0.697746925768548,0.028414730731705265
OBM_RR,4.0,300000,9123,7.698652706801472,-0.590634959106012,7.359001804138485,5.530043287007115,0.725,9352.18113349616,0.723032682807839,0.02481089504232051
OBM_RR,4.0,300000,12549,10.722807964957434,-0.9389107321195702,9.853571566526286,5.530043287007115,0.75,12818.610191887023,0.7483144755593097,0.021257055118445577
OBM_RR,4.0,500000,7,18.85924020194073,-4.3426624958765725,0.0005233029765165,5.530043287007115,0.15,7.158886890101028,0.1482896101174897,0.022444357555335966
OBM_RR,4.0,500000,9,16.59983874415304,-4.074186313105888,0.0008456873628956,5.530043287007115,0.175,9.938475026541154,0.16744122336374762,0.09918901370953807
OBM_RR,4.0,500000,13,12.9986897533587,-3.6051368360749247,0.0016802468429327,5.530043287007115,0.2,13.79729661461215,0.1954639788346493,0.05952331801932924
OBM_RR,4.0,500000,19,9.205954793424311,-3.0335830432413133,0.0033328792821857,5.530043287007115,0.225,19.154386700495632,0.2243832832915244,0.008092780749533634
OBM_RR,4.0,500000,26,6.316776242413911,-2.5121857719789733,0.0057060220078289,5.530043287007115,0.25,26.591479484724942,0.24828580373194561,0.02249430632960012
OBM_RR,4.0,500000,37,3.647623032093626,-1.9072542837683335,0.0100166499534067,5.530043287007115,0.275,36.91617968474297,0.27517283348988336,0.002267983858033839
OBM_RR,4.0,500000,52,1.8401335692574896,-1.350412505292338,0.0165403101953049,5.530043287007115,0.3,51.24966150526037,0.30110762862924195,0.014534705360128823
OBM_RR,4.0,500000,73,0.7817571947858769,-0.8691679108756434,0.0263372590637766,5.530043287007115,0.325,71.14841857510196,0.32695782899414466,0.025691343491984212
OBM_RR,4.0,500000,101,0.3001830008924452,-0.5098351358833657,0.0403015120012365,5.530043287007115,0.35,98.77328585318219,0.351698881071083,0.022293334749744584
OBM_RR,4.0,500000,141,0.1268293242003113,-0.2557221924756261,0.0615123749444505,5.530043287007115,0.375,137.12408783810366,0.3771241313816642,0.027873623851545
OBM_RR,4.0,500000,197,0.1023170182764125,-0.1025477856912173,0.091915864757187,5.530043287007115,0.4,190.3653938715879,0.4026106865654435,0.03425837777625657
OBM_RR,4.0,500000,275,0.134075681797141,-0.0253488128860555,0.1336001196319487,5.530043287007115,0.425,264.2787547777203,0.42803044970833587,0.03976666226973165
OBM_RR,4.0,500000,383,0.1858280139351427,0.0046388506765522,0.1860390438042987,5.530043287007115,0.45,366.8905298721239,0.4532746745470173,0.04297146934869776
OBM_RR,4.0,500000,534,0.2525237598852373,0.0097545346219636,0.2527445396140638,5.530043287007115,0.475,509.34348098871766,0.4786024939512451,0.047273234693139
OBM_RR,4.0,500000,744,0.3418489771932161,0.0004266783873214,0.3422766409399448,5.530043287007115,0.5,707.1067811865476,0.5038757763878497,0.05085934613092751
OBM_RR,4.0,500000,1037,0.463152203633993,-0.0234227083256728,0.463182558566892,5.530043287007115,0.525,981.6558347412624,0.5291796156313349,0.054846435092254495
OBM_RR,4.0,500000,1294,0.5701257495549918,-0.0463662339395227,0.5686867803807332,5.530043287007115,0.55,1362.8043225162298,0.5460520539615035,0.05180638251153561
OBM_RR,4.0,500000,1803,0.7620229542913178,-0.0816965332560579,0.7562939982430634,5.530043287007115,0.575,1891.9417129104454,0.571330560477613,0.048151718804171274
OBM_RR,4.0,500000,2512,1.0670244569273344,-0.1240241951599747,1.0529586542600802,5.530043287007115,0.6,2626.5278044037664,0.5966024794793233,0.04458349885450761
OBM_RR,4.0,500000,3501,1.525430975366814,-0.1854753476000796,1.492895990787929,5.530043287007115,0.625,3646.3323686085546,0.6219004676403737,0.040673189923039824
OBM_RR,4.0,500000,4878,2.121903868379251,-0.2795989877406457,2.04628613209878,5.530043287007115,0.65,5062.097465737913,0.6471769097172895,0.03704561653694836
OBM_RR,4.0,500000,6798,2.9588630887898955,-0.4151037612775257,2.790039505545077,5.530043287007115,0.675,7027.5630859204075,0.6724690878055513,0.033211549491861156
OBM_RR,4.0,500000,9472,4.184534736620773,-0.5790738750852862,3.854025715959432,5.530043287007115,0.7,9756.16199823444,0.6977474326682539,0.029559007059242668
OBM_RR,4.0,500000,13199,5.894799534904691,-0.8045602427517444,5.254049913079293,5.530043287007115,0.725,13544.196725389875,0.7230325875951858,0.025817100489183478
OBM_RR,4.0,500000,18391,8.073197382600878,-1.0726250471001606,6.931337062262082,5.530043287007115,0.75,18803.015465431967,0.7483115968581989,0.02215583955426555
OBM_RR,4.0,1000000,8,20.903569124819963,-4.572016158707098,0.0002376664241886,5.530043287007115,0.15,7.943282347242814,0.1505149978319906,0.007114957985194869
OBM_RR,4.0,1000000,11,18.3414749953244,-4.282644084220853,0.0004351871965274,5.530043287007115,0.175,11.220184543019633,0.17356544752637085,0.01981907484537731
OBM_RR,4.0,1000000,15,15.521758855528132,-3.939668093444309,0.0007751379474532,5.530043287007115,0.2,15.848931924611136,0.19601520984261356,0.055051910490644874
