scenario,lazy_prob,T,eta,b_n,estimator,T_eff,n_problems,sigma_true_median,l2_median_x1e3,width_median_x1e3,coverage_median_pct,coverage_mean_pct,rel_bias_raw_median,rel_bias_raw_mean,rel_bias_used_median,mse_raw_mean,mse_used_mean,negative_rate_mean,clamped_rate_mean,diverged_total,slem_median,spectral_gap_median,relaxation_time_median,max_rho_median,warn_unstable_rate,width_ratio_to_oracle
lazy_0p95,0.95,100000,0.5,316,OBM_RR,99000,100,74.38627435555341,124.78543031597502,113.38979523568767,80.0,64.83,0.12435233701998427,0.136750079294435,0.12435233701998427,492.47804452038685,492.47804452038685,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.0552941719670494
lazy_0p95,0.95,100000,0.6,999,OBM,99000,100,74.38627435555341,124.78543031597502,111.22821570305112,78.5,64.04,0.0807221798705487,0.09173882262581289,0.0807221798705487,362.77182646568804,362.77182646568804,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.035176821209927
lazy_0p95,0.95,100000,0.6,999,OBM_RR,99000,100,74.38627435555341,124.78543031597502,111.81298461569745,77.0,63.97,0.1000021464315653,0.11558789584170855,0.1000021464315653,911.9323657952052,911.9323657952052,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.0406191383442027
lazy_0p95,0.95,100000,,0,ORACLE,99000,100,74.38627435555341,124.78543031597502,107.44851838263365,77.0,62.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.0
lazy_0p95,0.95,1000000,0.4,251,OBM,999000,100,74.38627435555341,111.76410835439953,32.92524933632528,4.0,24.96,-0.044877882095204234,-0.030364954322405685,-0.044877882095204234,151.03647863188152,151.03647863188152,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,0.9734054824036055
lazy_0p95,0.95,1000000,0.4,251,OBM_RR,999000,100,74.38627435555341,111.76410835439953,35.7959883504104,7.000000000000001,26.97,0.13979969791608587,0.1455575879128962,0.13979969791608587,322.1754730507664,322.1754730507664,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.0582763080218467
lazy_0p95,0.95,1000000,0.5,1000,OBM,999000,100,74.38627435555341,111.76410835439953,35.1502465809701,7.000000000000001,26.44,0.0906577497368913,0.10106877924485064,0.0906577497368913,218.11249993825538,218.11249993825538,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.0391855314518812
lazy_0p95,0.95,1000000,0.5,1000,OBM_RR,999000,100,74.38627435555341,111.76410835439953,35.783512000027265,7.000000000000001,26.85,0.1365795949064328,0.1437132531351006,0.1365795949064328,365.62002247918747,365.62002247918747,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.0579074559065818
lazy_0p95,0.95,1000000,0.6,3981,OBM,999000,100,74.38627435555341,111.76410835439953,35.62955303049836,7.000000000000001,26.74,0.12364493812053692,0.13111355516639261,0.12364493812053692,330.6421524411776,330.6421524411776,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.0533557969814265
lazy_0p95,0.95,1000000,0.6,3981,OBM_RR,999000,100,74.38627435555341,111.76410835439953,35.61723632069028,7.000000000000001,26.83,0.12073568514449616,0.13351872981740004,0.12073568514449616,516.4466979811161,516.4466979811161,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.052991664496661
lazy_0p95,0.95,1000000,,0,ORACLE,999000,100,74.38627435555341,111.76410835439953,33.824803672796044,6.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.0
