scenario,lazy_prob,problem_seed,T,T_eff,sigma_true,rr_alpha_1,rr_alpha_2,eig_min,eig_max,noise_target,max_a_norm,max_rho,warn_unstable,warn_assumption,slem,spectral_gap,relaxation_time,eta,b_n,lam,estimator,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,sigma_mean_raw,rel_bias_raw,mse_raw,sigma_mean_used,rel_bias_used,mse_used,negative_rate,clamped_rate
baseline,0.0,1497586439,100000,99000,2.482036996357162,0.2,0.1,0.25,0.6,0.35,0.7570355025661545,0.9546844288686142,False,False,0.19342522177206642,0.8065747782279336,1.2398106499152215,0.4,100,0.0,OBM,8.245767961546079,16.724420494812996,95.0,0,1.8027755612662455,-0.27367095498087074,0.46624656633256234,1.8027755612662455,-0.27367095498087074,0.46624656633256234,0.0,0.0
baseline,0.0,1497586439,100000,99000,2.482036996357162,0.2,0.1,0.25,0.6,0.35,0.7570355025661545,0.9546844288686142,False,False,0.19342522177206642,0.8065747782279336,1.2398106499152215,0.4,100,2.0,OBM_RR,8.245767961546079,19.48363774434681,97.0,0,2.4478962909429653,-0.013755115441189767,0.021972294556088685,2.4478962909429653,-0.013755115441189767,0.021972294556088685,0.0,0.0
baseline,0.0,1497586439,100000,99000,2.482036996357162,0.2,0.1,0.25,0.6,0.35,0.7570355025661545,0.9546844288686142,False,False,0.19342522177206642,0.8065747782279336,1.2398106499152215,0.5,316,0.0,OBM,8.245767961546079,18.66336410462328,97.0,0,2.2460172913786964,-0.095091130923861,0.0722817652039796,2.2460172913786964,-0.095091130923861,0.0722817652039796,0.0,0.0
baseline,0.0,1497586439,100000,99000,2.482036996357162,0.2,0.1,0.25,0.6,0.35,0.7570355025661545,0.9546844288686142,False,False,0.19342522177206642,0.8065747782279336,1.2398106499152215,0.5,316,2.0,OBM_RR,8.245767961546079,19.43814236007141,97.0,0,2.4425311669522074,-0.015916696432380566,0.08092475491907854,2.4425311669522074,-0.015916696432380566,0.08092475491907854,0.0,0.0
baseline,0.0,1497586439,100000,99000,2.482036996357162,0.2,0.1,0.25,0.6,0.35,0.7570355025661545,0.9546844288686142,False,False,0.19342522177206642,0.8065747782279336,1.2398106499152215,0.6,999,0.0,OBM,8.245767961546079,19.184061172367098,97.0,0,2.3775869840341564,-0.04208237527333595,0.07158719810680929,2.3775869840341564,-0.04208237527333595,0.07158719810680929,0.0,0.0
baseline,0.0,1497586439,100000,99000,2.482036996357162,0.2,0.1,0.25,0.6,0.35,0.7570355025661545,0.9546844288686142,False,False,0.19342522177206642,0.8065747782279336,1.2398106499152215,0.6,999,2.0,OBM_RR,8.245767961546079,19.202161842404603,96.0,0,2.4117161491620918,-0.028331909354404796,0.35148932052082754,2.4117161491620918,-0.028331909354404796,0.35148932052082754,0.0,0.0
baseline,0.0,432652533,100000,99000,1.9611068538101502,0.2,0.1,0.25,0.6,0.35,0.7171510190072995,0.9811557567616923,False,False,0.1733418281991794,0.8266581718008206,1.209689850185072,,0,2.0,ORACLE,8.740237566065238,17.446612616598234,92.0,0,1.9611068538101502,0.0,0.0,1.9611068538101502,0.0,0.0,0.0,0.0
baseline,0.0,432652533,100000,99000,1.9611068538101502,0.2,0.1,0.25,0.6,0.35,0.7171510190072995,0.9811557567616923,False,False,0.1733418281991794,0.8266581718008206,1.209689850185072,0.4,100,0.0,OBM,8.740237566065238,13.908598076149294,87.0,0,1.2472585117013528,-0.3640027776772551,0.5140404174202708,1.2472585117013528,-0.3640027776772551,0.5140404174202708,0.0,0.0
baseline,0.0,432652533,100000,99000,1.9611068538101502,0.2,0.1,0.25,0.6,0.35,0.7171510190072995,0.9811557567616923,False,False,0.1733418281991794,0.8266581718008206,1.209689850185072,0.4,100,2.0,OBM_RR,8.740237566065238,17.15726120176017,92.0,0,1.9000470983629263,-0.03113535365428635,0.03009386656621991,1.9000470983629263,-0.03113535365428635,0.03009386656621991,0.0,0.0
baseline,0.0,432652533,100000,99000,1.9611068538101502,0.2,0.1,0.25,0.6,0.35,0.7171510190072995,0.9811557567616923,False,False,0.1733418281991794,0.8266581718008206,1.209689850185072,0.5,316,0.0,OBM,8.740237566065238,16.25580471781723,92.0,0,1.7059099264183095,-0.13012902733781664,0.08828870351855966,1.7059099264183095,-0.13012902733781664,0.08828870351855966,0.0,0.0
baseline,0.0,432652533,100000,99000,1.9611068538101502,0.2,0.1,0.25,0.6,0.35,0.7171510190072995,0.9811557567616923,False,False,0.1733418281991794,0.8266581718008206,1.209689850185072,0.5,316,2.0,OBM_RR,8.740237566065238,17.24438955210261,93.0,0,1.92763798969772,-0.01706631336655873,0.09248039098432714,1.92763798969772,-0.01706631336655873,0.09248039098432714,0.0,0.0
baseline,0.0,432652533,100000,99000,1.9611068538101502,0.2,0.1,0.25,0.6,0.35,0.7171510190072995,0.9811557567616923,False,False,0.1733418281991794,0.8266581718008206,1.209689850185072,0.6,999,0.0,OBM,8.740237566065238,16.950568134708824,93.0,0,1.8598238634495556,-0.05164582958027817,0.07579890657961359,1.8598238634495556,-0.05164582958027817,0.07579890657961359,0.0,0.0
baseline,0.0,432652533,100000,99000,1.9611068538101502,0.2,0.1,0.25,0.6,0.35,0.7171510190072995,0.9811557567616923,False,False,0.1733418281991794,0.8266581718008206,1.209689850185072,0.6,999,2.0,OBM_RR,8.740237566065238,16.925953563835474,91.0,0,1.869828500565395,-0.04654430382893946,0.19348862948429033,1.869828500565395,-0.04654430382893946,0.19348862948429033,0.0,0.0
baseline,0.0,1580016184,100000,99000,2.9767465568954146,0.2,0.1,0.25,0.6,0.35,0.693869447479337,0.9799992470541787,False,False,0.1720351639163086,0.8279648360836914,1.207780761233825,,0,2.0,ORACLE,8.853769791028443,21.494701548635646,95.0,0,2.9767465568954146,0.0,0.0,2.9767465568954146,0.0,0.0,0.0,0.0
baseline,0.0,1580016184,100000,99000,2.9767465568954146,0.2,0.1,0.25,0.6,0.35,0.693869447479337,0.9799992470541787,False,False,0.1720351639163086,0.8279648360836914,1.207780761233825,0.4,100,0.0,OBM,8.853769791028443,17.088717129328987,89.0,0,1.8826104066259888,-0.36756107023452833,1.2056866813079399,1.8826104066259888,-0.36756107023452833,1.2056866813079399,0.0,0.0
baseline,0.0,1580016184,100000,99000,2.9767465568954146,0.2,0.1,0.25,0.6,0.35,0.693869447479337,0.9799992470541787,False,False,0.1720351639163086,0.8279648360836914,1.207780761233825,0.4,100,2.0,OBM_RR,8.853769791028443,21.334996110206866,95.0,0,2.9365958273334223,-0.013488124969519514,0.04719642325673422,2.9365958273334223,-0.013488124969519514,0.04719642325673422,0.0,0.0
