problem_seed,T,T_eff,eta,b_n,lam,estimator,sigma_true,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,sigma_mean_raw,rel_bias_raw,mse_raw,sigma_mean_used,rel_bias_used,mse_used,negative_rate,clamped_rate,scenario,eig_min,eig_max,noise_target,max_a_norm,max_rho,warn_unstable,warn_assumption,rr_alpha_1,rr_alpha_2
331334161,100000,99000,0.4,100,0.0,OBM,1.9375291091622746,8.647665291580452,15.412612236320834,91.0,0,1.5311714455588734,-0.20972983666763964,0.1692696985438977,1.5311714455588734,-0.20972983666763964,0.1692696985438977,0.0,0.0,baseline,0.25,0.6,0.35,0.8241349755475844,0.9711524805845761,False,False,0.2,0.1
331334161,100000,99000,0.4,100,2.0,OBM_RR,1.9375291091622746,8.647665291580452,17.288302241606946,95.0,0,1.928472205158121,-0.004674460869426434,0.021389082948780887,1.928472205158121,-0.004674460869426434,0.021389082948780887,0.0,0.0,baseline,0.25,0.6,0.35,0.8241349755475844,0.9711524805845761,False,False,0.2,0.1
331334161,100000,99000,0.5,316,0.0,OBM,1.9375291091622746,8.647665291580452,16.732750651818527,94.0,0,1.806411518230414,-0.06767257860118124,0.03528593273013083,1.806411518230414,-0.06767257860118124,0.03528593273013083,0.0,0.0,baseline,0.25,0.6,0.35,0.8241349755475844,0.9711524805845761,False,False,0.2,0.1
331334161,100000,99000,0.5,316,2.0,OBM_RR,1.9375291091622746,8.647665291580452,17.284139274482175,97.0,0,1.9336347646597403,-0.002009954061654398,0.06901327422156278,1.9336347646597403,-0.002009954061654398,0.06901327422156278,0.0,0.0,baseline,0.25,0.6,0.35,0.8241349755475844,0.9711524805845761,False,False,0.2,0.1
331334161,100000,99000,0.6,999,0.0,OBM,1.9375291091622746,8.647665291580452,17.08115372131579,95.0,0,1.8865274092238409,-0.02632306255284352,0.05337291097383188,1.8865274092238409,-0.02632306255284352,0.05337291097383188,0.0,0.0,baseline,0.25,0.6,0.35,0.8241349755475844,0.9711524805845761,False,False,0.2,0.1
331334161,100000,99000,0.6,999,2.0,OBM_RR,1.9375291091622746,8.647665291580452,17.087138759564315,96.0,0,1.9071774770037662,-0.015665123179301042,0.19743406535367133,1.9071774770037662,-0.015665123179301042,0.19743406535367133,0.0,0.0,baseline,0.25,0.6,0.35,0.8241349755475844,0.9711524805845761,False,False,0.2,0.1
1173749072,100000,99000,,0,2.0,ORACLE,2.706626465225628,9.907891784531165,20.496261407472346,96.0,0,2.706626465225628,0.0,0.0,2.706626465225628,0.0,0.0,0.0,0.0,baseline,0.25,0.6,0.35,0.7785593399232804,0.9794972428830395,False,False,,
1173749072,100000,99000,0.4,100,0.0,OBM,2.706626465225628,9.907891784531165,16.44835057176426,87.0,0,1.743695326340436,-0.35576802017448717,0.9313100220362768,1.743695326340436,-0.35576802017448717,0.9313100220362768,0.0,0.0,baseline,0.25,0.6,0.35,0.7785593399232804,0.9794972428830395,False,False,0.2,0.1
1173749072,100000,99000,0.4,100,2.0,OBM_RR,2.706626465225628,9.907891784531165,20.13018346623907,94.0,0,2.6128876015445974,-0.03463309950056835,0.030172424124771106,2.6128876015445974,-0.03463309950056835,0.030172424124771106,0.0,0.0,baseline,0.25,0.6,0.35,0.7785593399232804,0.9794972428830395,False,False,0.2,0.1
1173749072,100000,99000,0.5,316,0.0,OBM,2.706626465225628,9.907891784531165,19.128172919845554,94.0,0,2.3593421420690674,-0.12830892168476993,0.1391284833664774,2.3593421420690674,-0.12830892168476993,0.1391284833664774,0.0,0.0,baseline,0.25,0.6,0.35,0.7785593399232804,0.9794972428830395,False,False,0.2,0.1
