estimator,lam,eta,label,n_T,T_min,T_max,kappa_hat,rate_hat,C_hat_mse,r2_log_mse,theory_rate,rate_minus_theory,mean_abs_log_b_error,max_abs_log_b_error
OBM_RR,3.0,0.275,OBM-LW(lambda=3),5,10000,1000000,0.2878542735091445,-0.2878542735091445,0.11374628492998537,0.7935319104288227,0.725,-1.0128542735091446,0.038065356767348776,0.05540977621898399
OBM_RR,3.0,0.3,OBM-LW(lambda=3),5,10000,1000000,0.2520691286345667,-0.2520691286345667,0.0912354560202048,0.6184689232302603,0.7,-0.9520691286345666,0.012083859687952956,0.023201163678818436
OBM_RR,3.0,0.325,OBM-LW(lambda=3),5,10000,1000000,0.26512234908732446,-0.26512234908732446,0.0403391798772697,0.4309951346926434,0.675,-0.9401223490873245,0.04211418240208278,0.05922413249507562
OBM_RR,3.0,0.35,OBM-LW(lambda=3),5,10000,1000000,0.08182921632352919,-0.08182921632352919,0.1767990287824974,0.06599869742887188,0.65,-0.7318292163235292,0.025421341780731393,0.04556529984371811
OBM_RR,3.0,0.375,OBM-LW(lambda=3),5,10000,1000000,-0.21339564620187326,0.21339564620187326,3.102146055314381,0.3894887040404956,0.625,-0.41160435379812677,0.026249252344657005,0.0341192983723828
OBM_RR,3.0,0.4,OBM-LW(lambda=3),5,10000,1000000,-0.4166825620715091,0.4166825620715091,28.124445288288975,0.8805047428887864,0.6,-0.18331743792849087,0.04392993985798716,0.04654998906408755
OBM_RR,3.0,0.425,OBM-LW(lambda=3),5,10000,1000000,-0.563298707275442,0.563298707275442,172.00478149492866,0.9987643012256363,0.575,-0.011701292724557999,0.0020929930165455566,0.003338743717214201
OBM_RR,3.0,0.45,OBM-LW(lambda=3),5,10000,1000000,-0.5497253808609404,0.5497253808609404,202.84378462725874,0.9988320304310401,0.55,-0.00027461913905968416,0.04006198512250968,0.05211653262233804
OBM_RR,3.0,0.475,OBM-LW(lambda=3),5,10000,1000000,-0.5305906132860098,0.5305906132860098,204.03386001673573,0.9989533296895268,0.525,0.005590613286009738,0.029502236837321096,0.031489887307144734
OBM_RR,3.0,0.5,OBM-LW(lambda=3),5,10000,1000000,-0.5039168035689444,0.5039168035689444,211.7340286866956,0.9986939427583711,0.5,0.003916803568944416,0.012794954452205996,0.016857117066422806
OBM_RR,3.0,0.525,OBM-LW(lambda=3),5,10000,1000000,-0.478736076558646,0.478736076558646,221.31366034332515,0.9986535857146508,0.475,0.0037360765586459954,0.05322725440863503,0.0653965056366573
OBM_RR,3.0,0.55,OBM-LW(lambda=3),5,10000,1000000,-0.4602642686124691,0.4602642686124691,222.09513306435016,0.9981894842724287,0.44999999999999996,0.010264268612469152,0.015840127633535837,0.017831054655788534
OBM_RR,3.0,0.575,OBM-LW(lambda=3),5,10000,1000000,-0.43538586059997963,0.43538586059997963,230.4172029791898,0.9978242276705439,0.42500000000000004,0.01038586059997959,0.02415220542851098,0.03027009845655459
OBM_RR,3.0,0.6,OBM-LW(lambda=3),5,10000,1000000,-0.41106946174799963,0.41106946174799963,219.55267179847212,0.996990772412224,0.4,0.01106946174799961,0.044668158850598584,0.05262101206610732
OBM_RR,3.0,0.625,OBM-LW(lambda=3),5,10000,1000000,-0.37666089708465844,0.37666089708465844,207.84532023583563,0.995354381601938,0.375,0.0016608970846584414,0.004073881840997802,0.0045294286522725566
OBM_RR,3.0,0.65,OBM-LW(lambda=3),5,10000,1000000,-0.34434794009764974,0.34434794009764974,201.60327831355426,0.9959804716060988,0.35,-0.005652059902350237,0.0358541060526692,0.043687938216034866
