estimator,lam,T,b,mse_selected,bias,var,sigma_true,eta,target_b,eta_actual,log_b_error
OBM_RR,2.0,10000,6,11.466850803436392,-3.3822995179976414,0.0269232099976467,5.530043287007115,0.2,6.309573444801933,0.19453781259591088,0.050308605167181636
OBM_RR,2.0,10000,8,8.343877427711986,-2.8806326954302106,0.0458709275033849,5.530043287007115,0.225,7.943282347242816,0.22577249674798586,0.007114957985194649
OBM_RR,2.0,10000,10,6.103824415891696,-2.456722315099236,0.0683968797849678,5.530043287007115,0.25,10.0,0.25,0.0
OBM_RR,2.0,10000,13,3.8679681760373934,-1.939266438280005,0.107303276795507,5.530043287007115,0.275,12.589254117941675,0.2784858380767092,0.032105755168086385
OBM_RR,2.0,10000,16,2.5044897203952043,-1.5342514637952471,0.1506877393534741,5.530043287007115,0.3,15.848931924611133,0.30102999566398114,0.009486610646926505
OBM_RR,2.0,10000,20,1.4802710603254203,-1.1257755429670588,0.2130780522261664,5.530043287007115,0.325,19.952623149688797,0.32525749891599526,0.002371652661731522
OBM_RR,2.0,10000,24,0.9643319963248336,-0.8281846420535581,0.2786744236778511,5.530043287007115,0.35,25.118864315095795,0.3450528104279015,0.04556529984371811
OBM_RR,2.0,10000,32,0.6174767495649301,-0.4495293512029299,0.4157465674448731,5.530043287007115,0.375,31.622776601683793,0.37628749457997646,0.011858263308657958
OBM_RR,2.0,10000,38,0.600431006689344,-0.2831218648121156,0.520706938803657,5.530043287007115,0.4,39.810717055349734,0.3949458991542025,0.04654998906408755
OBM_RR,2.0,10000,50,0.7368618189995433,-0.1094023836575077,0.7254975187151946,5.530043287007115,0.425,50.11872336272722,0.42474250108400463,0.002371652661731537
OBM_RR,2.0,10000,65,0.9733198421544224,-0.037266036060461,0.9727417027964268,5.530043287007115,0.45,63.09573444801933,0.4532283391607138,0.02973410250635483
OBM_RR,2.0,10000,77,1.174787108497303,-0.0286334514153479,1.174946355920615,5.530043287007115,0.475,79.43282347242814,0.47162268129312046,0.031106254835002824
OBM_RR,2.0,10000,101,1.6055831114796983,-0.0549305626666152,1.6039023300398607,5.530043287007115,0.5,100.0,0.5010803434456607,0.009950330853168092
OBM_RR,2.0,10000,131,2.170217508434774,-0.1016086800579847,2.161694596735594,5.530043287007115,0.525,125.89254117941675,0.529317823913941,0.03976862791365542
OBM_RR,2.0,10000,156,2.6352269831588897,-0.1345586268316578,2.619303712197566,5.530043287007115,0.55,158.48931924611142,0.5482811495886154,0.015831197337363923
OBM_RR,2.0,10000,203,3.484690821428388,-0.1851925037708373,3.4532722848795427,5.530043287007115,0.575,199.52623149688787,0.5768740094783031,0.017260265155482617
OBM_RR,2.0,10000,242,4.153122315406498,-0.218410097382514,4.108843380918625,5.530043287007115,0.6,251.18864315095797,0.5959538414951078,0.03726649702902315
OBM_RR,2.0,10000,315,5.320540692785127,-0.3052132421430782,5.231745357403473,5.530043287007115,0.625,316.22776601683796,0.6245776384474001,0.003890093659481259
OBM_RR,2.0,10000,409,6.774126197096736,-0.4478601161114444,6.579030038525484,5.530043287007115,0.65,398.1071705534973,0.6529308270018355,0.02699391425828277
OBM_RR,2.0,10000,488,8.038251618364459,-0.5935918969292162,7.692310537045306,5.530043287007115,0.675,501.18723362727246,0.6721049555006776,0.026664345230776473
OBM_RR,2.0,10000,634,10.728546368097666,-0.8923366356229598,9.940565501407267,5.530043287007115,0.7,630.957344480193,0.7005223144704331,0.004810694053898292
OBM_RR,2.0,10000,825,14.124726131421404,-1.3218016295432031,12.387889825079236,5.530043287007115,0.725,794.3282347242813,0.7291134871374811,0.03788661665194867
OBM_RR,2.0,10000,982,16.41581101247054,-1.6477751642407927,13.71207474953972,5.530043287007115,0.75,1000.0,0.7480278719467374,0.01816397062767118
OBM_RR,2.0,30000,5,15.663017141419871,-3.957006421813722,0.0051215871341118,5.530043287007115,0.15,4.694271328870265,0.15612040964921,0.06309501333745664
OBM_RR,2.0,30000,6,13.732589895803848,-3.7047696587392336,0.0072777362692556,5.530043287007115,0.175,6.074299753156561,0.17380615938497024,0.012307246384696045
OBM_RR,2.0,30000,8,10.578447307493027,-3.250523754056286,0.0125530927194531,5.530043287007115,0.2,7.860030855966229,0.2017122020181897,0.01765100955097741
OBM_RR,2.0,30000,10,8.17180961756318,-2.85532125445079,0.0189659564084207,5.530043287007115,0.225,10.170733675867188,0.22335781032193994,0.016929255650920155
OBM_RR,2.0,30000,13,5.5787078133429215,-2.355499976722406,0.0303529671429524,5.530043287007115,0.25,13.160740129524925,0.24880794799393632,0.012288807699536324
OBM_RR,2.0,30000,18,3.001336783169043,-1.7170944276150912,0.0529676495301897,5.530043287007115,0.275,17.029752845447483,0.28037491809721055,0.05540977621898399
OBM_RR,2.0,30000,22,1.862634867975238,-1.3376584385212542,0.0733659080848583,5.530043287007115,0.3,22.036183309053403,0.29984059051495643,0.0016433448349718553
OBM_RR,2.0,30000,30,0.7823963308256149,-0.8151864783646907,0.1179656410178364,5.530043287007115,0.325,28.514411174206582,0.3299265690341803,0.05078776695276017
OBM_RR,2.0,30000,36,0.4690231948811392,-0.5616952833840907,0.1536496448759349,5.530043287007115,0.35,36.89711749119786,0.3476123187699405,0.024614492769392045
OBM_RR,2.0,30000,49,0.2938682669050442,-0.2436486932257713,0.2346991638309439,5.530043287007115,0.375,47.74418348819862,0.37751849544989513,0.02596305036901687
OBM_RR,2.0,30000,59,0.3117517032487384,-0.1196747079992723,0.2976777322909363,5.530043287007115,0.4,61.78008505674121,0.3955336277245918,0.0460436203519978
OBM_RR,2.0,30000,80,0.4228007759280257,-0.0074965927133057,0.4230971579907088,5.530043287007115,0.425,79.94228052013091,0.4250700123401296,0.0007217539000573804
OBM_RR,2.0,30000,107,0.571289755634354,0.0252116390481891,0.5711300706163716,5.530043287007115,0.45,103.44382350541889,0.4532787168866349,0.03380013717197439
OBM_RR,2.0,30000,130,0.6905226583538322,0.0233692677654557,0.690551995674334,5.530043287007115,0.475,133.85438283469583,0.4721657583158762,0.02921806335045631
OBM_RR,2.0,30000,175,0.9156745142478466,-0.001920891586181,0.9164345198565744,5.530043287007115,0.5,173.20508075688772,0.5010000670233676,0.010309643601367893
OBM_RR,2.0,30000,235,1.212303771632801,-0.0476372702074403,1.2110436651742962,5.530043287007115,0.525,224.12415166897196,0.529596525841738,0.04738536730590521
OBM_RR,2.0,30000,286,1.4751420462372071,-0.0819632011487243,1.469648787217342,5.530043287007115,0.55,290.0124819770266,0.5486485385088927,0.013932152534508618
OBM_RR,2.0,30000,383,1.971676811909988,-0.1311567384692891,1.9561048092050908,5.530043287007115,0.575,375.27075541015427,0.5769776217799514,0.020387209310178317
OBM_RR,2.0,30000,466,2.387920299300575,-0.1838898443718903,2.3560682146163034,5.530043287007115,0.6,485.59337483020374,0.5960048354457808,0.04118596226092943
OBM_RR,2.0,30000,626,3.2393382805669044,-0.2806989543010862,3.1631823629236173,5.530043287007115,0.625,628.3487915845369,0.6246367194684207,0.003745041802584352
OBM_RR,2.0,30000,840,4.43782054225181,-0.4101360685273265,4.273169922480158,5.530043287007115,0.65,813.0716446117171,0.6531606181045876,0.03258266241856901
OBM_RR,2.0,30000,1021,5.456511158927339,-0.5256090616847127,5.184566745490163,5.530043287007115,0.675,1052.099579287026,0.6720894009548826,0.030005227770232235
OBM_RR,2.0,30000,1370,7.403872206036812,-0.754379521838044,6.840484146523653,5.530043287007115,0.7,1361.3972791592591,0.7006110374718485,0.006299156371166344
OBM_RR,2.0,30000,1837,9.886287967211157,-1.0055434839056314,8.882572412863468,5.530043287007115,0.725,1761.6227476853735,0.72906427380426,0.041898406248013775
